,Suspected cases,Confirmed cases,Suspected deaths,Confirmed deaths
18-May-26,516,33,131,4
19-May-26,0,0,0,0
20-May-26,235,50,45,0
21-May-26,70,19,3,0
22-May-26,0,0,0,0
23-May-26,34,10,0,0
24-May-26,51,0,44,6
25-May-26,0,0,0,0
26-May-26,0,0,0,0
27-May-26,0,13,0,7
